code_pro,wilaya,field,activity,description,processed_activity,processed_description,fuzzy_matched_official
838GYUCX,Tebessa,Services numériques et activités connexes,Freelance académique,"Révision et correction de documents académiques tels que des articles, des thèses et des dissertations ; assurer les guides de style pertinents, tels que APA ou Chicago Manual of Style ; fournisse des commentaires et des suggestions constructives._x000D_
Gestion de données, Statistiques descriptives, Statistiques inférentielles, Visualisation de données, Analyse de sondages et L'interprétation de données en recherche en sciences sociales.",freelance academiqu,revision correction document academique tel article these dissertatier assurer guide style pertinent tel apa chicago manual of style fourniss commentaire suggestion constructives_xd _ gestion donnee statistique descriptif statistique inferentielle visualisation donnee analyse sondage linterpretation donnee recherche science social,
8NA4YXY2,Constantine,,PILOTE DE DRONE,Operateur de drone ou pilote de drone utiliser pour la photographie aerienne.,pilote dron,operateur dron pilote dron utiliser photographie aerienn,
3EBTM66K,Algiers,Services à la personne,Demenagement,"J ai une machine monte meuble _x000D_
C est comme un ascenseur mobil_x000D_
Qui est très pratique pour un demenagement",demenagement,machine mont meuble _ xd _ comme ascenseur mobil_xd _ tre pratique demenagement,
D4ZC1YKG,Algiers,"Conseil, Expertise et formation","Formation, coaching","1- Formation, coaching en assurance _x000D_
_x000D_
2- Rédacteur de mode opératoire _x000D_
_x000D_
3-Préparation des guide de formation adapté",formation coaching,formation coaching assurance _ xd _ _ xd _ redacteur mode operatoir _ xd _ _ xd _ preparation guid formation adapt,
8SD94TV9,Oran,"Conseil, Expertise et formation",Consultant immobilier,Recherche de bien immobilier pour les particuliers,consulter immobilier,recherche bien immobilier particulier,
F6GRB88T,Oran,Services numériques et activités connexes,CHARGÉ(E) DE LA LOGISTIQUE D'UNE ENTREPRISE DE LIVRAISON,CHARGÉ(E) DE LA LOGISTIQUE D'UNE ENTREPRISE DE LIVRAISON,chargee logistique dune entreprise livraison,chargee logistique dune entreprise livraison,
L7EYTCLF,Boumerdes,Services à la personne,Géomètre topographe,"- Levé topographique_x000D_
- Implantation_x000D_
- Nivellement_x000D_
- Calcul de surfaces et de cubatures_x000D_
- Suivi de chantiers (Génie civil, Hydraulique)_x000D_
- Délimitation et bornage_x000D_
- Partage de terrain",geometre topographe,leve topographique_xd _ implantation_xd _ nivellement_xd _ calcul surface cubatures_xd _ suivi chantier genie civil hydraulique_xd _ delimitation bornage_xd _ partage terrain,
CKMLNGKV,Algiers,Services de loisirs et de récréation,Organisation d’événement touristique,"Proposer aux personnes des sorties ( randonnée , bivuac , culturelle )",organisation devenemer touristique,proposer personne sortir randonnee bivuac culturel,
ETZD6C8K,Constantine,Prestations à domicile,Beautés Esthétique,"Effectuer des soins de beauté (visage corps onglerie  maquillage coiffures),soit se déplacer aux (mariages ,domicile soit recevoir chez moi)",beaute esthetiqu,effectuer soin beaut visage corps onglerie maquillage coiffuressoit deplacer mariage domicil recevoir chez,
D2FC7HWY,Constantine,Prestations à domicile,Beautés Esthétique,Se déplacer pour des prestations beautés/esthétique  maquillage  coiffure  onglerie soins visage et corps soit depuis mon domicile,beaute esthetiqu,deplacer prestation beautesesthetiqu maquillage coiffure onglerie soin visag corps depuis domicile,
U8U5P7F6,Algiers,Services numériques et activités connexes,"Consultant Intégrateur de solution de gestion ""ERP, LogicielMétier","- Etude de l'existant ""identification des processus, élaboration des procédures, identification des profils des utilisateurs, _x000D_
- Mise en oeuvre du logiciel ""Paramétrage des locgiciels, Reprise des données de base ""migration""_x000D_
- Mise en production ""formation des utilisateurs et réajustement des profil_x000D_
- Assistance après mise en production ""Contrat de maintenance""",consulter integrateur solution gestion erp logicielmetier,etude lexister identification processu elaboration procedure identification profil utilisateur _ xd _ mise oeuvr logiciel parametrage locgiciel repris donnee base migration_xd _ mise production formation utilisateur reajustemer profil_xd _ assistance apre mise production contrat maintenanc,
SGPBHTPF,Tizi Ouzou,Services aux entreprises,S'Associé,Je cherche une sous-traitance des projets qui concerne FTTH,sassoci,cherche soustraitance projet concerner ftth,
SLSB9WGD,Algiers,,Styliste Culinaire ( Food designer),"Un styliste culinaire est un expert dans le domaine de la cuisine, possédant une expertise dans le dressage des mets et des plats. Dans le domaine de l'audiovisuel, le styliste culinaire a souvent pour mission de magnifier les différentes préparations culinaires les marques alimentaires ont besoin de communiquer sur leurs produits et de leur apporter la valeur souhaitée._x000D_
Depuis 2014, je suis impliqué dans ce domaine et je me considère comme le seul algérien qui exerce ce métier d'art._x000D_
La quasi-totalité de la concurrence est étrangère, qu'elle soit française, italienne ou tunisienne._x000D_
Je vous exprime toute ma gratitude pour votre analyse et votre compréhension de ce besoin de régularisation de cette activité sur notre marché national._x000D_
Je vous adresse mes salutations les plus sincères pour tout le travail que vous faites dans l'encadrement des auto-entrepreneurs.",stylist culinaire food designer,stylist culinaire expert domaine cuisin posseder expertise dressage mets plat domaine laudiovisuel stylist culinaire avoir souvent mission magnifier differentes preparation culinaire marque alimentaire besoin communiquer leur produit apporter valeur souhaitee_xd _ depuis impliquer domaine considere comme seul algerien exerce metier dart_xd _ quasitotalite concurrence etrangere quel francaise italien tunisienne_xd _ exprimer tout gratitude analyse comprehension besoin regularisation ce activite marche national_xd _ adresse salutation plus sincere tout travail fait lencadrement autoentrepreneur,
4MFUG4P8,Oran,"Conseil, Expertise et formation",Consultant en immobilier et construction,"Le consultant en immobilier et construction facilite les transactions entre les différentes parties prenantes d'un projet d'achat ou de location de bureaux, d'entrepôts, d'usines, de locaux d'activité, etc. Il évalue la rentabilité de chaque projet, fait de la prospection et commercialise.",consulter immobilier construction,consulter immobilier construction facilit transaction entrer differente party prenant dun projet dachat location bureal dentrepot dusine local dactivit etc evalue rentabilite chaque projet faire prospection commercialis,
ZXGYB78P,Tizi Ouzou,,E-commerce,"Madame, Monsieur,_x000D_
Je me permets de vous écrire pour vous présenter mon projet de création d'une boutique en ligne spécialisée dans la vente de vêtements. Ce projet vise à offrir une expérience d'achat unique et personnalisée à notre clientèle, en mettant l'accent sur la qualité, le style et la satisfaction de nos clients._x000D_
L'objectif de notre boutique en ligne est de proposer une sélection variée de vêtements tendance, à la fois pour hommes et pour femmes, en mettant en avant des articles de qualité et des collections soigneusement choisies. Nous souhaitons également nous démarquer par un service client exceptionnel et une expérience d'achat fluide et agréable._x000D_
Notre projet repose sur une stratégie de commerce en ligne innovante, soutenue par une plateforme intuitive et facile d'utilisation, afin de répondre aux attentes des clients modernes, toujours à la recherche de simplicité et d'efficacité. Nous envisageons également d'intégrer des options de personnalisation pour que chaque client puisse trouver des articles qui correspondent parfaitement à son style et à ses besoins._x000D_
Nous restons à votre disposition pour toute information complémentaire concernant notre projet et serions ravis de vous en dire davantage sur notre vision et nos ambitions._x000D_
Dans l'attente de votre retour, je vous prie d'agréer, Madame, Monsieur, l'expression de mes salutations distinguées._x000D_
_x000D_
Cordialement,",ecommerce,monsieur monsieur_xd _ permet ecrire presenter projet creation dun boutique lign specialise vente vetement projet vise avoir offrir experience dachat unique personnalisee avoir clientele mettre laccent qualite styl satisfaction clients_xd _ lobjectif boutiqu ligne proposer selection variee vetement tendance avoir fois homme femme mettre avant article qualite collection soigneusement choisie souhaiter egalement demarquer service client exceptionnel experience dachat fluide agreable_xd _ projet repose strategie commerce lign innovant soutenir plateform intuitif facile dutilisation afin repondre attente client moderne toujours avoir recherche simplicite defficacit envisageon egalement dintegrer option personnalisation chaque client pouvoir trouver article correspondre parfaitement avoir style avoir besoins_xd _ reston avoir disposition tout information complementair concerner projet ravir dire davantage vision ambitions_xd _ lattent retour prie dagreer monsieur Monsieur lexpression salutation distinguees_xd _ _ xd _ cordialement,
